"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"ANT1","1","2450AT18A0100001E","","","","Antennas:2450AT18A0100001E","https://www.digikey.com/en/products/detail/johanson-technology-inc/2450AT18A0100001E/1560676?msockid=3bdc366bbe0663d83c1223c0bf3662a6"
"BT1","1","CR2032","","","","KiCad:BATHLD001THM","~"
"C1","1","20pF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C2,C3","2","10pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4,C8,C9","3","1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C5","1","100nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C6,C11","2","4.7uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C7","1","0.22uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C10","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C12","1","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C13","1","0.1uF","","","","Capacitor_SMD:C_0603_1608Metric","~"
"D1","1","LED","","","","LED_SMD:LED_0402_1005Metric","~"
"IC1","1","MLPF-NRG-01D3","","","","Library:CSPG_2025","https://www.st.com/resource/en/datasheet/mlpf-nrg-01d3.pdf"
"IC2","1","TCS40DPR,LF","","","","KiCad:SOTFL95P240X88-3N","http://toshiba.semicon-storage.com/info/docget.jsp?did=30107&prodName=TCS40DPR"
"J1","1","Conn_01x04_Pin","","","","KiCad:JST_MX_4P-1_25","~"
"L1","1","22nH","","","","KiCad:LQG15WH0N7B02D","~"
"L2","1","10uH","","","","KiCad:LQM21DN220N00L","~"
"R1","1","510","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2,R3","2","1M","","","","Resistor_SMD:R_0402_1005Metric","~"
"TP1","1","SWDIO","","","","TestPoint:TestPoint_Pad_D2.5mm","~"
"TP2","1","SWCLK","","","","TestPoint:TestPoint_Pad_D2.5mm","~"
"TP3","1","VCC","","","","TestPoint:TestPoint_Pad_D2.5mm","~"
"TP4","1","nRST","","","","TestPoint:TestPoint_Pad_D2.5mm","~"
"TP5","1","GND","","","","TestPoint:TestPoint_Pad_D2.5mm","~"
"U1","1","STM32WB09KEVx","","","","KiCad:QFN50P500X500X100-33N-D","https://www.st.com/resource/en/datasheet/stm32wb09ke.pdf"
"Y1","1","NX2016SA-32M-EXS00A-CS06465","","","","KiCad:NX2016SA32MEXS00ACS06465","http://www.ndk.com/images/products/catalog/c_NX2016SA_e.pdf"
"Y2","1","32.768KHz","","","","KiCad:NX2012SA32768KSTDMUB1","~"
